fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Aug,05,BIHAR,0526,MUNGER,3201490,245.41318856105,36,296,3172.659914593,4268,5,12672,3137456,328186,18882,84939,4280,50.54484,10922.935563893,85333,92040,136163,159857,27,249770,293579,16940,7699.73080929999,1627552,58,53.14,65.77,100.12,NA
2025-2026,Aug,05,BIHAR,0544,SUPAUL,2286063,260.943321346106,37,98,2455.73286782,15007,7,17415,2933678,501698,67923,11145,1697,67.05403,10178.02370862,77558,96865,184475,275119,96,541658,803999,32422,7655.2368108,1790501,82,13.68,32.41,100.42,NA
2025-2026,Sep,05,BIHAR,0507,GAYA,7843107,267.398533320831,29,284,6071.304136962,15374,8,44492,6910782,1744333,171006,52649,4122,95.5761,24646.209945962,232541,243517,462755,517438,43,1096384,1388793,59866,18479.329709,3937737,39,52.3,86.67,101.34,NA
2025-2026,Sep,05,BIHAR,0510,SIWAN,2951625,251.668790362528,37,139,2461.7537863,13297,11,19872,3050385,486522,36913,203677,13388,83.37993,10222.0007472,80685,83071,176997,193264,53,477240,556848,33169,7676.86703089999,1892837,82,42.04,62.03,101.24,NA
2025-2026,Sep,05,BIHAR,0520,MADHUBANI,3760505,243.245698813096,35,183,3732.412218414,17799,11,53891,4599277,513814,63600,13251,1144,121.23132,15041.187017414,127915,139836,296386,369330,48,1070603,1441165,71690,11187.543479,3185900,87,24.17,40.7,102.42,NA
2025-2026,Sep,05,BIHAR,0522,MADHEPURA,2572804,250.237742536528,33,94,3151.86723948499,10111,10,25041,2612122,463048,52408,28328,2583,93.58705,9781.96941458499,77653,89146,182920,246356,49,495334,686530,35152,6536.5151251,1519199,86,37.48,55.32,100.15,NA
2025-2026,Sep,05,BIHAR,0523,PURNIA,4557062,254.276336420807,31,51,5176.31518304002,13551,11,37111,3664916,343828,43869,65224,8960,83.96956,14579.29888074,114884,129556,261668,351608,141,661775,906043,50662,9319.0141377,2383810,88,34.67,33.7,101.47,NA
2025-2026,Sep,05,BIHAR,0525,KHAGARIA,1130279,246.003745536833,37,17,1216.499918507,8631,0,15618,1436200,144341,20425,5523,419,36.48922,4786.094931907,37844,38927,103778,115641,31,383308,459029,24249,3533.1057934,937116,86,19.06,26.62,103.54,NA
2025-2026,Sep,05,BIHAR,0527,BHAGALPUR,2915157,261.391615875666,39,142,2436.8874602,12155,4,25798,4341714,637344,39022,160223,9337,91.6573,13877.4211415,109896,124740,199472,249771,120,529808,740466,37953,11348.8763813,2352368,80,53.28,63.34,102.9,NA
2025-2026,Sep,05,BIHAR,0542,KISHANGANJ,3652087,252.407359812118,36,147,1942.74647930001,14800,0,24104,4280559,276559,21558,80387,7296,54.4427,12801.6351364,117119,127133,205194,246469,333,374755,480168,38904,10804.4459571,2960377,80,12.13,42.87,100.02,NA
2025-2026,Sep,05,BIHAR,0501,PATNA,2991105,251.576326770718,34,169,3652.42525356999,7907,4,27165,3465286,485090,44672,14298,1225,90.66296,12460.9274444699,101788,105864,222445,246292,18,742127,817072,35072,8717.83923089994,1863871,58,37.52,59.94,101.57,NA
2025-2026,Sep,05,BIHAR,0502,NALANDA,5420594,243.729679022546,38,379,6287.831648624,10942,1,24197,6218848,1478336,93778,15973,920,90.65227,21535.662187924,163401,180369,281482,347805,210,593908,810720,35139,15157.1782693,3372652,40,38.28,71.89,100.27,NA
2025-2026,Sep,05,BIHAR,0507,GAYA,7843107,267.377898752881,29,284,6071.304136962,15485,8,44538,6926044,1747676,170996,52726,4122,111.02935,24701.044400862,232625,243612,462763,517460,47,1096657,1389097,60023,18518.7109139,3945974,39,52.3,86.56,101.34,NA
2025-2026,Sep,05,BIHAR,0511,GOPALGANJ,2304262,260.497674706249,36,126,2078.50966255599,7754,4,15876,2106121,234008,21618,86805,6461,41.45464,7606.36053405599,57425,61425,124933,149762,72,353870,415102,23630,5486.3962315,1202737,51,42.92,62.19,100.04,NA
2025-2026,Sep,05,BIHAR,0515,MUZAFFARPUR,5059654,252.971008364626,34,237,5645.70984147604,7090,22,30840,5863980,1011355,74694,67331,4274,212.08744,20691.966617776,171067,193999,322774,405644,87,909624,1171400,37930,14834.1693363,3254522,67,46.58,79.33,102.83,NA
2025-2026,Sep,05,BIHAR,0541,ARARIA,3622294,253.765072016505,36,115,5454.25908429,27194,7,30414,3997903,261962,49223,25910,4859,80.92332,15680.46383139,109706,127748,281627,379299,127,769189,1056973,57608,10145.2814271,2563364,81,17.73,22.57,100.14,NA
2025-2026,Sep,05,BIHAR,0543,SHEOHAR,1090727,249.766178029888,33,13,1120.681372009,3378,0,10593,1070618,154636,14854,785,95,15.08026,3809.80329190902,32163,40133,69585,98277,79,166229,221169,13971,2674.04165990003,584354,73,50.81,55.19,101.33,NA
2025-2026,Sep,05,BIHAR,0545,BANKA ,2494311,241.691282394141,29,132,1880.499783864,7468,3,18971,2447742,362176,38175,86486,11914,47.75089,7844.22970336399,81772,91962,172130,225298,24,520755,661131,26439,5915.9790295,1428089,72,56.52,74.56,101.85,NA
2025-2026,Sep,05,BIHAR,0501,PATNA,2991105,251.631679414344,34,169,3652.42525356999,7893,4,27159,3464160,485019,44672,14298,1225,90.66296,12460.0121991699,101775,105850,222433,246278,18,741601,816521,35052,8716.92398559994,1863532,58,37.51,59.93,101.57,NA
2025-2026,Sep,05,BIHAR,0504,ROHTAS,3307431,249.135252625888,32,171,3080.280365178,5298,15,18598,3505005,736903,69215,44145,5022,102.11648,11914.599906478,106462,117254,210168,261422,79,475753,599295,23896,8732.2030613,1554493,39,38.05,82.36,103.91,NA
2025-2026,Sep,05,BIHAR,0506,JEHANABAD,2526643,239.199118121934,40,194,1814.425121318,2740,5,9046,3861679,1156446,52280,31458,1144,41.62078,11093.1480140179,94283,113803,126065,168536,150,231647,310467,11786,9237.10211269991,2117573,44,29.05,91.52,100.36,NA
2025-2026,Sep,05,BIHAR,0507,GAYA,7843107,267.377102216223,29,284,6071.304136962,15457,8,44475,6918256,1746303,170987,52675,4121,111.02935,24680.165903662,232587,243568,462737,517422,43,1096620,1389058,59932,18497.8324167,3941691,39,52.31,86.65,101.34,NA
2025-2026,Sep,05,BIHAR,0510,SIWAN,2951625,251.650274947511,37,139,2461.7537863,13329,11,20113,3056838,487367,36919,203813,13387,84.40998,10238.704998,80711,83097,177015,193293,53,477271,557012,33442,7692.54123169999,1896336,82,42.13,62.08,101.23,NA
2025-2026,Sep,05,BIHAR,0514,SITAMARHI,4395993,256.300676344327,34,161,4462.26151180998,15116,14,42017,3626703,734427,90437,19539,2800,93.87138,13851.39720981,105531,116189,275906,335235,58,794597,987706,57133,9295.264318,2112531,82,45.64,51.9,102.03,NA
2025-2026,Sep,05,BIHAR,0518,SAMASTIPUR,6580228,254.232127472698,33,210,6762.14971563199,28480,38,49554,5577665,1073626,109900,18879,1930,199.47392,21141.840028432,166537,173965,413352,469332,63,1048717,1190475,78034,14180.2163928001,3557514,64,35.38,40.28,101.45,NA
2025-2026,Sep,05,BIHAR,0523,PURNIA,4557062,254.057842530699,31,51,5176.31518304002,13632,11,37086,3673262,344283,43877,65337,8970,86.26852,14594.79389074,115103,129813,261739,351711,143,661788,906085,50718,9332.2101877,2388905,88,34.71,33.71,101.48,NA
2025-2026,Sep,05,BIHAR,0545,BANKA ,2494311,241.109714240529,29,132,1880.499783864,7427,3,18995,2447093,362176,38175,86486,11914,47.75089,7828.42961336399,81771,91961,172129,225297,24,520747,661121,26422,5900.1789395,1427582,72,56.52,74.57,101.76,NA
2025-2026,Sep,05,BIHAR,0548,BUXAR ,2599289,249.374327262591,32,71,3561.70662127099,6989,6,14443,2550594,590552,42224,80019,5541,62.64286,9984.876109971,79447,82909,147974,161354,32,341880,370253,21432,6360.52662870001,1324841,67,75.31,81.11,100.34,NA
2025-2026,Sep,05,BIHAR,0550,JAMUI,4705114,246.158566287682,29,236,3927.95111379999,7595,1,20086,4884369,1089260,78833,207777,18430,73.04291,16024.2867264,166194,195400,260597,349028,23,460473,627671,27681,12023.2927026,2679638,66,36.38,91.27,101.42,NA
2025-2026,Sep,05,BIHAR,0503,BHOJPUR,2390262,260.473996354355,34,74,1568.279975968,11844,1,27268,3004681,451382,43667,23804,2366,84.45543,9479.14808436799,87783,93188,188181,212717,63,637905,879452,39112,7826.4126784,1480862,78,39.07,66.08,100.43,NA
2025-2026,Sep,05,BIHAR,0507,GAYA,7843107,267.258232724587,29,298,6073.349486962,16486,8,47620,6990976,1760038,171160,53067,4140,111.02935,24868.337744762,234317,245433,464128,519117,57,1097492,1390380,64106,18683.9589078,3984208,43,52,86.05,101.36,NA
2025-2026,Sep,05,BIHAR,0513,PURBI CHAMPARAN,7166638,249.334273187183,37,226,7501.26500131499,34618,15,58276,9017363,1217510,100197,128600,9645,101.95224,30086.593738015,241010,260230,472511,578164,305,1216678,1543882,92894,22483.3764967,5554273,73,43.64,50.62,102.31,NA
2025-2026,Sep,05,BIHAR,0518,SAMASTIPUR,6580228,253.937261378584,33,210,6762.50571563199,29664,38,49766,5661206,1082809,109933,19361,1932,199.47392,21337.891113032,167411,174898,413803,469895,77,1057374,1199806,79430,14375.9114774001,3599490,64,36.22,41.01,101.47,NA
2025-2026,Sep,05,BIHAR,0520,MADHUBANI,3760505,243.018157005952,37,185,3738.567948414,21147,11,51020,4821779,524722,63721,13808,1146,124.21919,15580.585599114,130103,142251,297825,371152,80,1089370,1464689,72167,11717.7984607,3340103,87,24.19,39.86,102.82,NA
2025-2026,Sep,05,BIHAR,0525,KHAGARIA,1130279,245.03022261575,39,17,1221.900318507,9705,0,18663,1516200,147848,20456,5666,426,40.66984,4977.718393807,38485,39610,104391,116536,35,383540,460372,28368,3715.1482353,981344,88,19.13,26.14,103.98,NA
2025-2026,Sep,05,BIHAR,0542,KISHANGANJ,3652087,252.600167114214,37,151,2023.4543174,17291,0,22521,4420390,278340,21596,80895,7308,55.70482,13245.0716645,118251,128476,205936,247478,462,375156,480762,39812,11165.9125271,3050747,81,12.08,41.66,100.02,NA
2025-2026,Sep,05,BIHAR,0543,SHEOHAR,1090727,250.546551724459,33,13,1120.966172009,3542,0,10519,1082022,155118,14852,785,95,15.08026,3847.01524190902,32180,40160,69578,98279,100,166286,221263,14061,2710.96880990003,591244,73,50.12,53.37,101.36,NA
2025-2026,Sep,05,BIHAR,0549,KAIMUR (BHABUA),2513581,254.991486157059,33,442,1951.416223692,4725,1,11786,2635206,664867,59273,137996,11142,64.81141,8735.778576392,79519,91118,157180,206733,44,335707,432545,16511,6719.5509427,1270021,39,66.35,86.69,101.61,NA
2025-2026,Sep,05,BIHAR,0501,PATNA,2991105,251.214831413549,34,169,3652.56765356999,8595,4,27413,3493015,486330,44703,14334,1225,90.66296,12518.20235707,102020,106112,222626,246531,19,743976,819194,36008,8774.97174349998,1879338,59,37.3,59.52,101.61,NA
2025-2026,Sep,05,BIHAR,0504,ROHTAS,3307431,249.25699416842,33,174,3081.440825178,5629,15,20923,3584449,751447,69437,44947,5052,102.11648,12118.047140078,108401,119431,211609,263465,88,476565,600745,26552,8934.4898349,1587863,44,38.88,81.58,103.85,NA
2025-2026,Sep,05,BIHAR,0510,SIWAN,2951625,250.850861263147,37,143,2461.9673863,13626,11,23610,3139238,493792,37050,206676,13465,84.40998,10421.1829264,83089,86014,179031,196198,58,478008,558889,37236,7874.80556009999,1943545,84,42.02,61.4,101.22,NA
2025-2026,Sep,05,BIHAR,0522,MADHEPURA,2572804,251.715947267825,33,94,3151.86723948499,11111,10,24670,2636910,464980,52410,28435,2581,103.01193,9892.40215458499,77773,89292,182969,246435,51,495654,686948,35781,6637.5229851,1530909,86,37.52,55.2,100.22,NA
2025-2026,Sep,05,BIHAR,0523,PURNIA,4557062,254.107589654838,32,51,5408.60301734002,15076,11,38758,3801468,350539,43933,67067,8994,86.26852,15154.69024364,116630,131593,262703,353188,177,662047,906815,53834,9659.81870629999,2476170,88,37.69,36.27,101.6,NA
2025-2026,Sep,05,BIHAR,0525,KHAGARIA,1130279,242.810077118972,39,17,1221.900318507,9757,0,19385,1541644,149051,20469,5683,427,40.66984,5005.837143807,39142,40295,104958,117210,46,383691,460717,29142,3743.2669853,1000607,88,18.96,25.85,103.95,NA
2025-2026,Sep,05,BIHAR,0527,BHAGALPUR,2915157,261.555557539251,40,143,2438.3255602,14074,4,24789,4436163,641812,39095,161168,9362,91.6573,14133.0137281999,110743,125736,200450,251300,155,549762,764558,38863,11603.030868,2404124,80,52.62,62.57,103.13,NA
2025-2026,Sep,05,BIHAR,0542,KISHANGANJ,3652087,252.740525265106,37,151,2023.4543174,18048,0,21805,4472275,279430,21608,81055,7308,55.70482,13382.4104637,118855,129173,206385,248046,523,375406,481064,39853,11303.2513263,3083356,81,12.1,41.3,100.02,NA
2025-2026,Sep,05,BIHAR,0550,JAMUI,4705114,248.286497719969,29,236,3928.16471379999,8189,1,19650,4906952,1090929,78828,208426,18441,73.04291,16184.5068894,166534,195771,260668,349152,26,460699,627968,27839,12183.2992656,2688978,66,36.77,91.21,102.23,NA
2025-2026,Sep,05,BIHAR,0503,BHOJPUR,2390262,260.831027202202,34,74,1568.279975968,12617,1,29159,3031409,452844,43701,24075,2367,84.45543,9559.590639368,87973,93392,188327,212887,66,638108,879814,41776,7906.8552334,1496232,79,38.76,65.54,100.45,NA
2025-2026,Sep,05,BIHAR,0506,JEHANABAD,2526643,239.213036762433,41,194,1818.373481318,2946,5,9024,3872812,1158477,52289,31541,1144,41.37003,11124.0147046179,94353,113880,126105,168598,160,231830,310696,11970,9264.27119329992,2122062,44,29.15,91.43,100.38,NA
2025-2026,Sep,05,BIHAR,0507,GAYA,7843107,266.400773547049,29,301,6073.420686962,16609,8,48094,7059144,1776911,171251,53743,4146,111.02935,24990.0642587621,235337,246537,464803,519959,64,1097726,1390734,64703,18805.6142218001,4022848,43,52.23,85.93,101.35,NA
2025-2026,Sep,05,BIHAR,0509,SARAN,4453935,255.343691212046,37,90,4218.68060994799,20115,10,34736,5323731,573973,40299,66418,4632,192.99904,18005.490895548,140696,141249,292220,296416,94,736899,766042,54851,13593.8112456,3352505,78,28.06,61.3,101.12,NA
2025-2026,Sep,05,BIHAR,0510,SIWAN,2951625,250.842946584361,37,151,2461.9673863,13642,11,23778,3156716,494787,37078,207390,13488,84.40998,10464.776796,83612,86682,179500,196889,58,477976,558863,37420,7918.39942969999,1953502,84,42,61.28,101.21,NA
2025-2026,Sep,05,BIHAR,0515,MUZAFFARPUR,5059654,253.643906970205,34,237,5645.78934147604,7748,22,30282,5896326,1012670,74732,67421,4274,212.08744,20813.5484155761,171839,195036,323480,406709,87,908691,1170486,38030,14955.6716341,3269723,67,46.62,78.92,103.05,NA
2025-2026,Sep,05,BIHAR,0516,VAISHALI,4343384,245.558376694025,32,100,5734.27011745298,20668,12,42208,4500082,798939,64246,31504,1859,131.8286,16916.427026553,137851,140719,280534,293608,40,837035,868057,62876,11050.3283091,2693814,87,71.59,58.59,102.34,NA
2025-2026,Sep,05,BIHAR,0521,SAHARSA,6705518,257.077730040036,33,161,2766.41567590199,10269,1,25888,6413025,828902,55090,16601,1156,79.4464,19332.321172802,192564,217862,296562,369041,50,520997,649654,36157,16486.4590969,3621478,88,31.16,89.39,100.93,NA
2025-2026,Sep,05,BIHAR,0544,SUPAUL,2423717,260.905401647583,37,108,2456.37405782,15891,7,23395,3029285,514039,68359,11439,1709,67.36606,10427.30831412,80560,100743,187229,280162,100,553378,821985,39286,7903.5681963,1848443,85,18.59,35.78,100.64,NA
2025-2026,Sep,05,BIHAR,0548,BUXAR ,2599289,249.624988748548,32,71,3561.81112127099,7381,6,14512,2569446,592674,42238,80362,5543,62.64286,10038.433269671,79598,83063,148112,161536,42,344132,372773,21893,6413.9792884,1333021,68,75.14,80.82,100.36,NA
2025-2026,Aug,05,BIHAR,0502,NALANDA,5255888,243.763476977162,37,379,6287.83164862399,10650,1,23969,6195370,1474734,93761,15641,919,87.77611,21477.657082224,163137,180060,281347,347588,203,593851,810591,34619,15102.0493236,3361032,40,38.25,72.13,100.25,NA
2025-2026,Aug,05,BIHAR,0508,NAWADA,4768373,249.40102423208,32,550,5807.89169021501,6002,5,25623,5329134,1449044,98628,31639,2912,63.15681,19161.963278915,163680,166490,316745,331745,75,662286,690888,31625,13290.9147787,3059343,57,25.79,43.68,100.99,NA
2025-2026,Aug,05,BIHAR,0510,SIWAN,2683474,251.384882691655,37,139,2461.7537863,13069,11,19891,3031711,484588,36948,203125,13387,83.37993,10166.3968572,80553,82935,176976,193230,52,477161,556654,32960,7621.26314089999,1882520,82,41.97,62.01,101.22,NA
2025-2026,Aug,05,BIHAR,0513,PURBI CHAMPARAN,6775017,249.404671796277,36,222,7484.91836131499,29858,15,62030,8750373,1201964,100098,126513,9634,100.35929,29409.116712915,238160,257159,470223,575323,228,1205246,1530697,91888,21823.8390616,5376696,73,44.97,52.2,101.95,NA
2025-2026,Aug,05,BIHAR,0514,SITAMARHI,4101276,255.467168832177,34,161,4462.26151180998,14349,14,42634,3584761,730518,90435,19477,2800,92.04701,13712.19595791,105357,116003,275809,335130,52,794764,987946,56983,9157.88743610003,2087165,82,45.88,52.35,101.8,NA
2025-2026,Aug,05,BIHAR,0526,MUNGER,3201490,245.592926456776,36,296,3172.659914593,4426,5,12568,3141010,328384,18885,85065,4280,50.54484,10937.303133893,85350,92055,136178,159875,27,249784,293627,16994,7714.09837929999,1629663,58,53.11,65.1,100.12,NA
2025-2026,Aug,05,BIHAR,0527,BHAGALPUR,2862526,261.198745772128,39,138,2436.8874602,11820,4,26126,4305653,635926,39023,160101,9337,91.6573,13774.8563935,109782,124601,199428,249703,109,529469,739974,37946,11246.3116333,2330627,80,53.55,63.64,102.33,NA
2025-2026,Sep,05,BIHAR,0505,AURANAGABAD,4372606,258.139508412743,36,169,3897.33820068502,14442,2,21815,4472797,1075545,102754,39581,2830,106.28729,15549.6816787849,121416,133830,253395,321856,202,570044,733379,36257,11546.0561880999,2342802,55,37.47,66.16,100.48,NA
2025-2026,Sep,05,BIHAR,0508,NAWADA,4920839,251.452968594355,32,552,6298.32834382801,6600,5,25428,5349707,1447176,98518,31619,2908,63.15681,19813.482216428,163765,166577,316873,331942,83,678026,707353,32028,13451.9970626,3071810,57,25.58,43.14,101.18,NA
2025-2026,Sep,05,BIHAR,0511,GOPALGANJ,2304262,260.204793363495,36,126,2078.65206255599,7866,4,16798,2124552,236648,21630,87416,6464,41.45464,7648.29284405599,57803,61826,125163,150060,78,353994,415325,24664,5528.1861415,1213288,53,43.95,62.8,100.04,NA
2025-2026,Sep,05,BIHAR,0513,PURBI CHAMPARAN,7166638,249.563215542056,37,226,7500.92694131499,34467,15,58341,9004600,1216457,100195,128516,9645,101.95224,30075.048488015,240966,260178,472463,578109,302,1216652,1543845,92808,22472.1693067,5545275,73,43.68,50.68,102.31,NA
2025-2026,Sep,05,BIHAR,0515,MUZAFFARPUR,5059654,252.330435988351,34,237,5645.70984147604,7452,22,30586,5878391,1011816,74706,67284,4274,212.08744,20690.766920876,171486,194594,323241,406369,87,908703,1170456,38038,14832.9696394,3260565,67,46.58,79.1,102.83,NA
2025-2026,Sep,05,BIHAR,0519,DARBHANGA,4672411,250.570912576735,29,1133,5802.01990070698,11152,21,34586,4681557,912530,75969,13941,1049,204.61873,17737.258728407,160395,168496,334093,376478,22,936025,1034240,45738,11730.6200977,2964963,68,33.4,43.33,103.73,NA
2025-2026,Sep,05,BIHAR,0527,BHAGALPUR,2915157,261.556490383252,39,143,2437.5005102,13317,4,24751,4410795,640456,39051,160838,9351,91.6573,14065.8784102,110414,125336,199913,250463,140,536797,748961,38068,11536.7206,2389496,80,52.84,62.75,102.95,NA
2025-2026,Sep,05,BIHAR,0544,SUPAUL,2423717,260.99829468191,37,104,2455.73286782,15798,7,20262,2972120,505892,68080,11295,1705,67.36606,10280.28144372,78521,98034,185526,277077,98,552908,820551,36060,7757.1825159,1814445,83,14.05,32.5,100.52,NA
2025-2026,Sep,05,BIHAR,0547,Sheikhpura ,991035,238.753347681347,32,188,903.09525607,2707,5,7509,1007805,143781,14727,4720,298,33.2003,3342.46373167,30902,32193,63295,70376,21,144417,157545,10216,2406.1681756,553234,61,25.77,68.86,100.93,NA
2025-2026,Sep,05,BIHAR,0517,BEGUSARAI,2334850,261.316605191745,42,57,2515.2030433,19717,40,31151,2868053,186739,29061,2807,335,117.45335,10127.355128,67082,71919,173527,217127,108,610984,770182,50868,7494.6987347,1941811,84,20.78,25.48,103.04,NA
2025-2026,Sep,05,BIHAR,0520,MADHUBANI,3760505,243.672352213749,36,184,3734.069428414,19823,11,51811,4762148,521217,63696,13692,1146,124.21919,15462.326665914,129594,141706,297625,370912,74,1089243,1464475,71634,11604.0380475,3299887,87,23.79,39.76,102.64,NA
2025-2026,Sep,05,BIHAR,0523,PURNIA,4557062,254.547704280104,32,51,5466.72959522301,14631,11,38621,3730821,346574,43911,66397,8992,86.26852,15049.717321523,115801,130617,262165,352373,166,661951,906530,53252,9496.71920630001,2427081,88,34.78,33.51,101.57,NA
2025-2026,Sep,05,BIHAR,0524,KATIHAR,4726971,256.001259188692,30,181,6019.87131607701,12278,7,32079,4534650,586402,52978,251593,20372,58.35169,17686.984105877,150197,171726,316288,408597,71,695747,932798,44357,11608.7610998,2748835,79,58.72,63.27,100.36,NA
2025-2026,Sep,05,BIHAR,0544,SUPAUL,2423717,260.582457544576,37,104,2455.73286782,15484,7,19924,2961989,504825,68054,11264,1703,67.36606,10241.52265622,78293,97708,185330,276708,98,550927,817411,35408,7718.4237284,1808726,83,13.99,32.52,100.46,NA
2025-2026,Sep,05,BIHAR,0546,LAKHISARAI,2071818,247.035084511078,33,54,1353.332680962,2881,4,12729,2906187,410762,26226,42956,2922,44.77124,8577.40543246197,85510,92337,126314,149696,36,241044,288640,15610,7179.30151149997,1555472,65,42.71,70.8,100.26,NA
2025-2026,Sep,05,BIHAR,0501,PATNA,2991105,251.139935823821,34,169,3652.56765356999,8318,4,27270,3477926,485515,44672,14298,1225,90.66296,12477.69173797,101889,105978,222484,246350,18,743409,818506,35588,8734.46112439997,1871161,59,37.44,59.79,101.57,NA
2025-2026,Sep,05,BIHAR,0509,SARAN,4453935,256.077300808683,37,90,4218.68060994799,19200,10,35407,5255337,569926,40245,65932,4626,192.99904,17869.404787948,140230,140779,291452,295608,76,723337,752279,54607,13457.725138,3306164,78,28.33,62.04,101.12,NA
2025-2026,Sep,05,BIHAR,0512,PASHCHIM CHAMPARAN,4075057,258.555063530705,32,189,3946.68797742601,14318,8,31253,4052686,354816,37563,321533,30851,84.45926,14509.572099426,126105,145078,289229,373383,65,825933,1038679,45571,10478.424862,2209018,56,35.02,58.08,103.92,NA
2025-2026,Sep,05,BIHAR,0514,SITAMARHI,4395993,257.627147740773,34,162,4464.31531180998,15693,14,41441,3658286,737230,90418,19811,2800,93.87138,13982.92456981,105457,116132,275958,335338,62,797592,991148,57134,9424.737878,2128787,82,45.48,51.35,102.22,NA
2025-2026,Sep,05,BIHAR,0518,SAMASTIPUR,6580228,254.33618653274,33,210,6762.50571563199,28949,38,49414,5594085,1075102,109918,18993,1930,199.47392,21189.762096032,166768,174206,413601,469635,64,1057230,1199595,78363,14227.7824604001,3567727,64,35.53,40.41,101.47,NA
2025-2026,Sep,05,BIHAR,0524,KATIHAR,4726971,256.028357383536,30,181,6019.71901987701,12233,7,32116,4532117,586212,52975,251369,20372,58.35169,17681.575419677,150157,171687,316222,408500,71,691551,928150,44349,11603.5047098,2747711,79,58.66,63.22,100.35,NA
2025-2026,Sep,05,BIHAR,0506,JEHANABAD,2526643,239.294673920653,41,194,1818.307401318,2857,5,9065,3869503,1157908,52284,31512,1144,41.37003,11119.1920175179,94326,113851,126095,168581,160,231778,310634,11922,9259.51458619989,2120970,44,29.16,91.45,100.38,NA
2025-2026,Sep,05,BIHAR,0511,GOPALGANJ,2304262,260.191905356177,36,126,2078.65206255599,7868,4,17045,2128253,237069,21643,87541,6464,41.45464,7657.648734056,57931,61957,125314,150252,79,354050,415407,24913,5537.5420315,1214929,54,44.08,62.88,100.04,NA
2025-2026,Sep,05,BIHAR,0524,KATIHAR,4726971,255.79170791803,30,181,6019.87131607701,12448,7,31999,4552900,588452,52985,252957,20369,58.35169,17724.163675877,150244,171780,316305,408616,75,695818,932888,44447,11645.9406698,2757905,79,58.83,63.09,100.4,NA
2025-2026,Sep,05,BIHAR,0549,KAIMUR (BHABUA),2513581,254.973720975911,33,442,1951.416223692,4691,1,11748,2632167,664034,59265,137968,11140,64.81141,8727.561775892,79470,91062,157139,206676,44,335671,432488,16439,6711.3341422,1268374,39,66.35,86.74,101.59,NA
2025-2026,Sep,05,BIHAR,0502,NALANDA,5420594,244.243534268354,38,380,6294.213308624,11475,1,25558,6243428,1481316,93838,15959,920,90.67453,21634.057045324,163773,180755,281815,348260,223,594119,811111,37033,15249.1692067,3386605,43,38.18,71.67,100.32,NA
2025-2026,Sep,05,BIHAR,0511,GOPALGANJ,2304262,260.180586366622,36,126,2078.65206255599,7849,4,16703,2122614,236428,21629,87403,6463,41.45464,7642.73625405599,57777,61799,125116,149998,77,353980,415293,24552,5522.6295515,1212336,53,43.44,62.47,100.04,NA
2025-2026,Sep,05,BIHAR,0516,VAISHALI,4343384,245.195851576075,32,99,5734.27011745298,20292,12,37251,4482148,796825,64217,31287,1856,131.8286,16856.139674953,137561,140420,280313,293307,39,836373,866632,57543,10990.0409575,2683730,86,71.58,60.16,102.23,NA
2025-2026,Sep,05,BIHAR,0519,DARBHANGA,4672411,250.369689955988,29,1137,5802.01990070698,11132,21,34361,4682561,913109,75991,13941,1049,204.61873,17730.352088407,160449,168552,334136,376519,22,936003,1034204,45493,11723.7134577,2965566,68,33.41,43.35,103.72,NA
2025-2026,Sep,05,BIHAR,0520,MADHUBANI,3760505,243.550104359317,36,184,3733.927028414,20354,11,51335,4785773,522775,63715,13777,1146,124.21919,15513.901354314,129809,141945,297721,371025,78,1089291,1464524,71689,11655.7551359,3315377,87,24.07,39.91,102.73,NA
2025-2026,Sep,05,BIHAR,0525,KHAGARIA,1130279,245.030556611131,39,17,1218.986978507,9374,0,18268,1501551,147348,20443,5617,419,40.66984,4938.915591607,38331,39452,104173,116255,35,383493,460152,27642,3679.2587731,973101,87,19.23,26.3,103.62,NA
2025-2026,Sep,05,BIHAR,0544,SUPAUL,2423717,260.706671752133,37,104,2455.73286782,15595,7,20075,2971212,505789,68066,11295,1705,67.36606,10269.24684372,78513,98021,185491,276997,98,552012,819068,35670,7746.1479159,1814086,83,14.03,32.51,100.52,NA
2025-2026,Sep,05,BIHAR,0545,BANKA ,2494311,241.691282394141,29,132,1880.499783864,7506,3,18892,2447742,362176,38175,86486,11914,47.75089,7844.22970336399,81772,91962,172132,225300,24,520767,661143,26398,5915.9790295,1428089,72,56.62,74.62,101.85,NA
