fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,05,BIHAR,0524,KATIHAR,1096498,1873.50606222523,12,2,0,532,33,33552,29570,3494,49943,1932,18649,0,553.9957426,2323,2578,297332,381621,0,663286,885813,34084,553.9957426,17432,75,51.16,56.51,100,NA
2025-2026,April,05,BIHAR,0541,ARARIA,820034,564.81162297605,9,10,0,2161,17,29533,78621,4383,47167,435,4549,0,444.0605461,8058,9343,255890,343158,0,696130,957113,31694,444.0605461,49906,68,16.77,17.7,100,NA
2025-2026,April,05,BIHAR,0544,SUPAUL,591704,658.217826768934,11,4,1.39547,365,13,20819,69491,4963,63762,109,1626,0,458.79762,5978,7306,167794,249481,0,512558,759883,21184,457.40215,43958,75,17.22,17.72,100,NA
2025-2026,April,05,BIHAR,0545,BANKA ,654745,738.202957904393,11,0,1.10331,699,27,18308,19622,1442,34933,426,11004,0,145.9534944,1781,1872,153242,201346,0,502514,639800,19007,144.8501844,12997,65,8.82,9.21,100,NA
2025-2026,April,05,BIHAR,0503,BHOJPUR,538704,2338.00984238905,5,1,0.42124,1033,21,24546,14466,2192,40660,16,2178,0,338.6377438,2693,2748,165773,188499,0,601770,841484,25579,338.2165038,6562,73,14.78,14.56,100,NA
2025-2026,April,05,BIHAR,0504,ROHTAS,903800,929.827839491809,9,9,0,499,31,17702,42976,7238,63305,406,4679,0,399.6028123,4309,4668,190238,236428,0,448385,564003,18201,399.6028123,19260,38,34.51,52.73,100,NA
2025-2026,April,05,BIHAR,0506,JEHANABAD,828908,769.859535489937,16,10,0.02065,454,18,7176,23401,7813,40536,39,1007,0,180.1754799,1395,1629,95863,128709,0,220327,296438,7630,180.1548299,12787,48,22.07,59.29,100,NA
2025-2026,April,05,BIHAR,0512,PASHCHIM CHAMPARAN,909891,1829.34943100775,9,5,0,812,36,31608,38700,2635,34175,2969,27648,0,707.9582298,4120,4430,264569,340405,0,775099,975554,32420,707.9582298,23821,46,35.39,36.76,100,NA
2025-2026,April,05,BIHAR,0525,KHAGARIA,279740,1307.17914333012,6,0,1.19904,264,18,13535,7249,960,19457,56,407,0,95.9564561000001,1062,1067,90859,100868,0,351169,424621,13799,94.7574161000001,4621,78,59.41,23.7,100,NA
2025-2026,April,05,BIHAR,0541,ARARIA,820034,717.003550784621,8,7,0,2099,17,28884,56779,3039,47158,323,4549,0,407.1074461,6882,7945,255506,342597,0,695359,956012,30983,407.1074461,35702,68,23.21,24.58,100,NA
2025-2026,April,05,BIHAR,0544,SUPAUL,591704,672.129182543233,11,4,1.39547,361,13,20753,64823,4658,63755,109,1626,0,437.08977,5659,6936,167753,249398,0,512045,759026,21114,435.6943,41064,75,17.07,17.6,100,NA
2025-2026,April,05,BIHAR,0551,ARWAL,277864,1744.306047881,8,4,0,349,3,7131,12907,1064,14077,26,571,0,225.1375816,1510,1672,80010,92532,0,181274,207835,7480,225.1375816,7367,55,23.16,23.29,100,NA
2025-2026,April,05,BIHAR,0504,ROHTAS,903800,7101.5407649691,3,1,0,298,41,17450,4693,867,63248,60,4676,0.2032,333.4785081,1266,1365,189948,235996,0,446207,561025,17748,333.2753081,2004,37,19.1,0.45,100,NA
2025-2026,April,05,BIHAR,0510,SIWAN,711551,6416.52801575931,6,0,0,595,104,20851,2792,111,34044,145,12413,0,179.1494622,409,412,160468,175317,0,445004,522517,21446,179.1494622,1052,77,82.84,0.58,100,NA
2025-2026,April,05,BIHAR,0543,SHEOHAR,184334,37315.132994012,2,0,0.06195,8,20,9371,167,1,13501,0,78,0,62.3782221,66,67,63047,88961,0,153467,205311,9379,62.3162721,123,64,0,0,100,NA
2025-2026,April,05,BIHAR,0551,ARWAL,277864,14141.9886312057,2,3,0,342,4,6867,1410,124,14055,1,569,0,199.4020397,488,588,79863,92329,0,180457,206895,7209,199.4020397,784,53,18.46,0,100,NA
2025-2026,April,05,BIHAR,0508,NAWADA,1083462,14721.4269896306,2,0,0,383,26,23738,3086,436,90416,11,2799,0,454.3032369,1315,1331,287455,301641,0,644627,672943,24121,454.3032369,1777,51,66.53,66.64,100,NA
2025-2026,April,05,BIHAR,0512,PASHCHIM CHAMPARAN,909891,5963.72722529498,5,0,0,617,43,31353,10848,1290,34160,1386,27639,0,646.9451294,1925,2030,264187,339849,0,773069,972940,31970,646.9451294,6427,45,53.81,50.87,100,NA
2025-2026,April,05,BIHAR,0522,MADHEPURA,566513,2337.9815336866,14,1,0,543,63,21417,6605,440,49585,14,2445,0,154.4236803,452,498,167837,225413,0,472110,655196,21960,154.4236803,4143,80,5.33,5.47,100,NA
2025-2026,April,05,BIHAR,0541,ARARIA,820034,1533.33636241921,4,4,0,890,30,28452,21660,655,47097,32,4548,0,332.1206561,5075,5868,255096,342010,0,693046,952727,29342,332.1206561,13801,66,35.85,35.56,100,NA
2025-2026,April,05,BIHAR,0545,BANKA ,654745,2885.93989837398,6,0,1.10331,513,46,18039,3936,286,34930,200,11000,0,114.6939044,648,690,152948,200910,0,500943,637877,18552,113.5905944,2429,64,30.8,32.82,100,NA
2025-2026,April,05,BIHAR,0546,LAKHISARAI,606634,9644.35759515569,6,0,0,178,35,8455,1156,44,22475,6,2570,0,111.4887738,169,173,107551,127515,0,226134,271479,8633,111.4887738,802,63,11.67,13.99,100,NA
2025-2026,April,05,BIHAR,0550,JAMUI,1092882,5566.26720670391,8,0,0,657,63,19263,1074,46,71239,136,16962,0,59.7817098,125,130,236724,315408,0,446193,608182,19920,59.7817098,502,61,93.93,79.75,100,NA
2025-2026,April,05,BIHAR,0509,SARAN,1032347,35138.9328054953,1,0,0,438,49,30669,1383,55,37690,16,4369,0,485.9714407,913,913,264792,268451,0,680758,708555,31107,485.9714407,905,70,2.84,0,100,NA
2025-2026,April,05,BIHAR,0510,SIWAN,711551,18463.2349499444,6,0,0,517,111,20929,899,14,34044,45,12417,0,165.9844822,138,140,160476,175320,0,444396,521886,21446,165.9844822,339,77,76.76,0,100,NA
